season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2007,DAL,T,,76,ACT,Flozell Adams,Flozell,Adams,1975-05-18,79,340,,00-0000045,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tvzbhead7hjhqpcbilgc",,19,DIV,A01,Flozell,ADA280969,,32004144-4128-0969-9390-de3ae33872eb,1998,1998,DAL,38
2007,DEN,DT,,95,CUT,Sam Adams,Sam,Adams,1973-06-13,75,350,,00-0000065,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pqwbc18lkp6evgok8768",,13,REG,A01,Sam,ADA571656,,32004144-4157-1656-c9b5-9681a9711d63,1994,1994,SEA,8
2007,PHI,K,,2,ACT,David Akers,David,Akers,1974-12-09,70,200,,00-0000108,,,,,,,,,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/emsxaumip79uaj7bq8jd",,17,REG,A01,David,AKE551610,,3200414b-4555-1610-e0e6-a72c82e419e7,1997,1997,,
2007,WAS,LS,,67,ACT,Ethan Albright,Lawrence,Albright,1971-05-01,77,257,,00-0000121,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lip7eu79zah64gpusebf",,18,WC,A01,Ethan,ALB637766,,3200414c-4263-7766-3ff2-577dbeb62e1c,1994,1994,,
2007,DEN,TE,,82,RES,Stephen Alexander,Stephen,Alexander,1975-11-07,76,250,,00-0000166,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wrje2v8zbq12dnsmygu6",,6,REG,A01,Stephen,ALE622924,,3200414c-4562-2924-6d5f-9e076172d6cc,1998,1998,WAS,48
2007,SF,G,,71,ACT,Larry Allen,Larry,Allen,1971-11-27,75,325,,00-0000217,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o51021fppnwxvlql9jly",,17,REG,A01,Larry,ALL550477,,3200414c-4c55-0477-1895-f6e8a902378c,1994,1994,DAL,46
2007,ATL,K,,5,ACT,Morten Andersen,Morten,Andersen,1960-08-19,74,225,,00-0000282,,,,,,,,,25,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nk87h6cjuij14iofd5ix",,17,REG,A01,Morten,AND020258,,3200414e-4402-0258-af5e-f904d4733d82,1982,1982,NO,86
2007,CIN,T,,71,ACT,Willie Anderson,Willie,Anderson,1975-07-11,77,340,,00-0000352,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zgfskojfejbtmvqndvcb",,17,REG,A01,Willie,AND603240,,3200414e-4460-3240-86ae-cd3b353113cd,1996,1996,CIN,10
2007,CHI,OLB,,94,ACT,Brendon Ayanbadejo,Brendon,Ayanbadejo,1976-09-06,73,228,,00-0000551,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xyeqlkvkt7b5ygv8lrwn",,17,REG,A01,Brendon,AYA436705,,32004159-4143-6705-e019-7daf37d2f1af,1999,1999,,
2007,ARZ,T,,67,CUT,Brad Badger,Brad,Badger,1975-01-11,76,320,,00-0000576,,,,,,,,,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/babh1oqhyb91qvquddzz",,8,REG,A01,Brad,BAD650964,,32004241-4465-0964-c1c3-08a1f705af41,1997,1997,WAS,162
2007,DEN,CB,,24,ACT,Champ Bailey,Roland,Bailey,1978-06-22,72,192,,00-0000585,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nxtpe8xo54kxbkyabih6",,17,REG,A01,Champ,BAI582194,,32004241-4958-2194-25da-8624608fa14d,1999,1999,WAS,7
2007,TB,CB,,20,ACT,Ronde Barber,Ronde,Barber,1975-04-07,70,184,,00-0000741,,,,,,,,,10,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ye1pozwxxdxdvfvtsl0z",,18,WC,A01,Ronde,BAR048197,,32004241-5204-8197-3361-5bb631aa79ce,1997,1997,TB,66
2007,HST,OLB,,51,RES,Shawn Barber,Shawn,Barber,1975-01-14,74,240,,00-0000743,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q1h2br1qdjttqotpvcvs",,8,REG,I01,Shawn,BAR094541,,32004241-5209-4541-395e-81e9ced71dac,1998,1998,WAS,113
2007,NYJ,ILB,,50,ACT,Eric Barton,Eric,Barton,1977-09-29,74,245,,00-0000846,,,,,,,,,8,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n1mcqe2q9khdadl7k77f",,17,REG,A01,Eric,BAR766216,,32004241-5276-6216-1360-96908316eed6,1999,1999,OAK,146
2007,PIT,QB,,16,ACT,Charlie Batch,Charles,Batch,1974-12-05,74,216,,00-0000865,1490,a725e7c5-86df-4b5b-abe0-71b809be988d,,945,367,BatcCh00,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/isysgvqm3qaxybeyhece",,18,WC,A01,Charlie,BAT039161,,32004241-5403-9161-d21e-19cbefc1c6b0,1998,1998,DET,60
2007,NO,SS,,20,ACT,Jay Bellamy,Jay,Bellamy,1972-07-08,71,200,,00-0001058,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lvg23tid66dlvjcenj7j",,17,REG,I01,Jay,BEL643257,,32004245-4c64-3257-db03-5747bcb5e192,1994,1994,,
2007,ARZ,P,,17,ACT,Mitch Berger,Mitch,Berger,1972-06-24,76,228,,00-0001157,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mqdccgnykzgp26fl4uuj",,17,REG,A01,Mitch,BER067954,,32004245-5206-7954-a418-6fe295037024,1994,1994,PHI,193
